Image: ../BM3D_images/ImNoisy.png

Read input image...done.
image size :
 - width          = 256
 - height         = 256
 - nb of channels = 1

--> Execution on Tesla K40c
BM3D context initialization
	Number of blocks          = 9025
	Number of blocks (intern) = 7225
	Width blocks (intern)     = 85
	Width blocks              = 95
	Width                     = 293
	Height                    = 293
	Size Image array          = 0.327488 Mb
	Basic Image array         = 0.327488 Mb
	Blocks array              = 4.544449 Mb
	Blocks Map                = 34.427643 Mb
	BM Vectors                = 0.440979 Mb
	Blocks 3D                 = 56.445312 Mb
	NP array                  = 0.027561 Mb
	WP array                  = 0.055122 Mb
	Estimates array           = 0.654976 Mb

Run BM3D
	Basic estimates (1 step)
block = 84, xPixel = 258, yPixel =7, num = 0.023102, den = 0.000120, wp = 0.000278, coef = 0.432500, value = 192.296875
block = 84, xPixel = 259, yPixel =7, num = 0.034746, den = 0.000187, wp = 0.000278, coef = 0.671700, value = 186.220703
block = 84, xPixel = 260, yPixel =7, num = 0.047550, den = 0.000240, wp = 0.000278, coef = 0.864400, value = 198.033203
block = 84, xPixel = 261, yPixel =7, num = 0.048721, den = 0.000270, wp = 0.000278, coef = 0.971800, value = 180.484375
block = 84, xPixel = 262, yPixel =7, num = 0.052034, den = 0.000270, wp = 0.000278, coef = 0.971800, value = 192.757812
block = 84, xPixel = 263, yPixel =7, num = 0.044603, den = 0.000240, wp = 0.000278, coef = 0.864400, value = 185.759766
block = 84, xPixel = 264, yPixel =7, num = 0.034895, den = 0.000187, wp = 0.000278, coef = 0.671700, value = 187.021484
block = 84, xPixel = 265, yPixel =7, num = 0.023006, den = 0.000120, wp = 0.000278, coef = 0.432500, value = 191.496094
block = 84, xPixel = 258, yPixel =8, num = 0.020593, den = 0.000107, wp = 0.000278, coef = 0.384600, value = 192.757812
block = 84, xPixel = 259, yPixel =8, num = 0.030826, den = 0.000166, wp = 0.000278, coef = 0.597400, value = 185.759766
block = 84, xPixel = 260, yPixel =8, num = 0.039939, den = 0.000214, wp = 0.000278, coef = 0.768800, value = 187.021484
block = 84, xPixel = 261, yPixel =8, num = 0.045980, den = 0.000240, wp = 0.000278, coef = 0.864400, value = 191.496094
block = 84, xPixel = 262, yPixel =8, num = 0.046173, den = 0.000240, wp = 0.000278, coef = 0.864400, value = 192.296875
block = 84, xPixel = 263, yPixel =8, num = 0.039768, den = 0.000214, wp = 0.000278, coef = 0.768800, value = 186.220703
block = 84, xPixel = 264, yPixel =8, num = 0.032863, den = 0.000166, wp = 0.000278, coef = 0.597400, value = 198.033203
block = 84, xPixel = 265, yPixel =8, num = 0.019282, den = 0.000107, wp = 0.000278, coef = 0.384600, value = 180.484375
block = 84, xPixel = 258, yPixel =9, num = 0.015461, den = 0.000083, wp = 0.000278, coef = 0.298900, value = 186.220703
block = 84, xPixel = 259, yPixel =9, num = 0.024796, den = 0.000129, wp = 0.000278, coef = 0.464200, value = 192.296875
block = 84, xPixel = 260, yPixel =9, num = 0.029950, den = 0.000166, wp = 0.000278, coef = 0.597400, value = 180.484375
block = 84, xPixel = 261, yPixel =9, num = 0.036950, den = 0.000187, wp = 0.000278, coef = 0.671700, value = 198.033203
block = 84, xPixel = 262, yPixel =9, num = 0.034660, den = 0.000187, wp = 0.000278, coef = 0.671700, value = 185.759766
block = 84, xPixel = 263, yPixel =9, num = 0.031987, den = 0.000166, wp = 0.000278, coef = 0.597400, value = 192.757812
block = 84, xPixel = 264, yPixel =9, num = 0.024692, den = 0.000129, wp = 0.000278, coef = 0.464200, value = 191.496094
block = 84, xPixel = 265, yPixel =9, num = 0.015528, den = 0.000083, wp = 0.000278, coef = 0.298900, value = 187.021484
block = 84, xPixel = 258, yPixel =10, num = 0.009928, den = 0.000053, wp = 0.000278, coef = 0.192400, value = 185.759766
block = 84, xPixel = 259, yPixel =10, num = 0.016004, den = 0.000083, wp = 0.000278, coef = 0.298900, value = 192.757812
block = 84, xPixel = 260, yPixel =10, num = 0.020458, den = 0.000107, wp = 0.000278, coef = 0.384600, value = 191.496094
block = 84, xPixel = 261, yPixel =10, num = 0.022469, den = 0.000120, wp = 0.000278, coef = 0.432500, value = 187.021484
block = 84, xPixel = 262, yPixel =10, num = 0.022372, den = 0.000120, wp = 0.000278, coef = 0.432500, value = 186.220703
block = 84, xPixel = 263, yPixel =10, num = 0.020544, den = 0.000107, wp = 0.000278, coef = 0.384600, value = 192.296875
block = 84, xPixel = 264, yPixel =10, num = 0.014985, den = 0.000083, wp = 0.000278, coef = 0.298900, value = 180.484375
block = 84, xPixel = 265, yPixel =10, num = 0.010584, den = 0.000053, wp = 0.000278, coef = 0.192400, value = 198.033203
block = 84, xPixel = 258, yPixel =3, num = 0.010584, den = 0.000053, wp = 0.000278, coef = 0.192400, value = 198.033203
block = 84, xPixel = 259, yPixel =3, num = 0.014985, den = 0.000083, wp = 0.000278, coef = 0.298900, value = 180.484375
block = 84, xPixel = 260, yPixel =3, num = 0.020544, den = 0.000107, wp = 0.000278, coef = 0.384600, value = 192.296875
block = 84, xPixel = 261, yPixel =3, num = 0.022372, den = 0.000120, wp = 0.000278, coef = 0.432500, value = 186.220703
block = 84, xPixel = 262, yPixel =3, num = 0.022469, den = 0.000120, wp = 0.000278, coef = 0.432500, value = 187.021484
block = 84, xPixel = 263, yPixel =3, num = 0.020458, den = 0.000107, wp = 0.000278, coef = 0.384600, value = 191.496094
block = 84, xPixel = 264, yPixel =3, num = 0.016004, den = 0.000083, wp = 0.000278, coef = 0.298900, value = 192.757812
block = 84, xPixel = 265, yPixel =3, num = 0.009928, den = 0.000053, wp = 0.000278, coef = 0.192400, value = 185.759766
block = 84, xPixel = 258, yPixel =4, num = 0.015528, den = 0.000083, wp = 0.000278, coef = 0.298900, value = 187.021484
block = 84, xPixel = 259, yPixel =4, num = 0.024692, den = 0.000129, wp = 0.000278, coef = 0.464200, value = 191.496094
block = 84, xPixel = 260, yPixel =4, num = 0.031987, den = 0.000166, wp = 0.000278, coef = 0.597400, value = 192.757812
block = 84, xPixel = 261, yPixel =4, num = 0.034660, den = 0.000187, wp = 0.000278, coef = 0.671700, value = 185.759766
block = 84, xPixel = 262, yPixel =4, num = 0.036950, den = 0.000187, wp = 0.000278, coef = 0.671700, value = 198.033203
block = 84, xPixel = 263, yPixel =4, num = 0.029950, den = 0.000166, wp = 0.000278, coef = 0.597400, value = 180.484375
block = 84, xPixel = 264, yPixel =4, num = 0.024796, den = 0.000129, wp = 0.000278, coef = 0.464200, value = 192.296875
block = 84, xPixel = 265, yPixel =4, num = 0.015461, den = 0.000083, wp = 0.000278, coef = 0.298900, value = 186.220703
block = 84, xPixel = 258, yPixel =5, num = 0.019282, den = 0.000107, wp = 0.000278, coef = 0.384600, value = 180.484375
block = 84, xPixel = 259, yPixel =5, num = 0.032863, den = 0.000166, wp = 0.000278, coef = 0.597400, value = 198.033203
block = 84, xPixel = 260, yPixel =5, num = 0.039768, den = 0.000214, wp = 0.000278, coef = 0.768800, value = 186.220703
block = 84, xPixel = 261, yPixel =5, num = 0.046173, den = 0.000240, wp = 0.000278, coef = 0.864400, value = 192.296875
block = 84, xPixel = 262, yPixel =5, num = 0.045980, den = 0.000240, wp = 0.000278, coef = 0.864400, value = 191.496094
block = 84, xPixel = 263, yPixel =5, num = 0.039939, den = 0.000214, wp = 0.000278, coef = 0.768800, value = 187.021484
block = 84, xPixel = 264, yPixel =5, num = 0.030826, den = 0.000166, wp = 0.000278, coef = 0.597400, value = 185.759766
block = 84, xPixel = 265, yPixel =5, num = 0.020593, den = 0.000107, wp = 0.000278, coef = 0.384600, value = 192.757812
block = 84, xPixel = 258, yPixel =6, num = 0.023006, den = 0.000120, wp = 0.000278, coef = 0.432500, value = 191.496094
